NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,1,94.29,-16.95,-17.75,-1.84,1006,0.0977,-173.426,2.600,16,4,8,84
NaI1,1,8,1,94.34,-24.14,-4.16,-1.86,1012,0.0977,-249.819,2.940,10,1,6,1
NaI2,2,8,1,94.3,-22.11,10.89,-1.85,1009,0.0977,-219.687,2.928,10,2,6,2
NaI3,3,8,1,94.32,-11.19,21.59,-1.84,1009,0.0977,-284.589,2.760,10,3,6,3
NaI4,4,8,1,94.25,3.36,24.35,-1.83,1009,0.0977,-294.319,2.895,10,4,6,4
NaI5,5,8,1,94.4,17.03,17.52,-1.88,1007,0.0977,-250.042,2.945,10,5,6,5
NaI6,6,8,2,94.39,24.14,4.34,-1.88,1009,0.0977,-323.630,2.922,10,6,6,6
NaI7,7,8,2,94.43,21.99,-10.69,-1.89,1011,0.0977,-295.409,2.847,10,7,6,7
NaI8,8,8,2,94.25,11.54,-21.64,-1.82,1007,0.0977,-289.315,2.746,10,8,6,8
NaI9,9,8,2,94.35,-3.38,-24.32,-1.87,1008,0.0977,-212.724,2.930,10,9,6,9
NaI10,10,8,2,82.99,-10.9,-21.94,3.01,1011,0.0977,-281.967,2.929,10,10,6,10
NaI11,11,8,2,82.9,-21.65,-11.25,3.04,1008,0.0977,-295.544,2.930,10,11,6,11
NaI12,12,8,3,82.84,-24.17,3.49,3.07,1009,0.0977,-240.245,2.660,10,12,6,12
NaI13,13,8,3,82.79,-17.63,16.93,3.09,1012,0.0977,-314.916,2.875,10,13,6,13
NaI14,14,8,3,82.85,-4.12,24.07,3.06,1008,0.0977,-345.936,2.884,10,14,6,14
NaI15,15,8,3,82.78,10.96,21.93,3.1,1007,0.0977,-265.682,2.802,10,15,6,15
NaI16,16,8,3,82.89,21.76,11.4,3.06,1007,0.0977,-264.576,2.944,10,16,6,16
NaI17,17,8,3,82.92,24.2,-3.56,3.04,1007,0.0977,-225.502,2.742,10,17,6,17
NaI18,18,8,3,82.82,17.41,-17.05,3.07,1007,0.0977,-240.631,2.828,10,18,6,18
NaI19,19,8,3,82.74,4.24,-24.07,3.11,1009,0.0977,-314.239,2.857,10,19,6,19
NaI20,20,8,4,71.72,-17.14,-17.15,8.01,1007,0.0977,-250.307,2.731,10,20,6,20
NaI21,21,8,4,71.83,-24.08,-3.85,8,1007,0.0977,-306.549,2.784,10,21,6,21
NaI22,22,8,4,71.92,-21.69,11.14,7.96,1010,0.0977,-372.614,2.946,10,22,6,22
NaI23,23,8,4,71.8,-10.92,21.7,7.99,1007,0.0977,-235.768,2.771,10,23,6,23
NaI24,24,8,4,71.85,3.96,24,7.98,1008,0.0977,-297.496,2.799,10,24,6,24
NaI25,25,8,4,71.87,17.24,17.12,7.95,1010,0.0977,-307.486,2.876,10,25,6,25
NaI26,26,8,4,71.84,24.05,3.68,7.98,1008,0.0977,-295.458,2.897,10,26,6,26
NaI27,27,8,4,71.81,21.66,-11.11,8,1009,0.0977,-237.369,2.814,10,27,6,27
NaI28,28,8,4,71.74,11.01,-21.63,8.01,1009,0.0977,-275.965,2.952,10,28,6,28
NaI29,29,8,4,71.91,-3.84,-24.08,7.96,1008,0.0977,-270.349,2.701,10,29,6,29
NaI30,30,8,5,61.94,-11.48,-21.31,12.9,1009,0.0977,-336.333,2.886,10,30,6,30
NaI31,31,8,5,61.88,-21.82,-10.63,12.97,1012,0.0977,-334.819,3.112,10,31,6,31
NaI32,32,8,5,61.95,-23.88,4.42,12.94,1006,0.0977,-302.438,3.057,11,0,6,32
NaI33,33,8,5,61.99,-16.95,17.46,12.94,1006,0.0977,-293.777,2.979,11,1,6,33
NaI34,34,8,5,62.06,-3.25,24.14,12.92,1005,0.0977,-360.806,2.955,11,2,6,34
NaI35,35,8,5,61.93,11.38,21.47,12.96,1005,0.0977,-342.586,3.024,11,3,6,35
NaI36,36,8,5,62.03,21.82,10.69,12.9,1005,0.0977,-303.172,3.049,11,4,6,36
NaI37,37,8,5,61.95,23.94,-4.24,12.95,1008,0.0977,-352.529,3.157,11,5,6,37
NaI38,38,8,5,62.15,17.04,-17.53,12.91,1007,0.0977,-405.113,3.190,11,6,6,38
NaI39,39,8,5,61.88,3.31,-23.97,12.93,1007,0.0977,-339.964,2.906,11,7,6,39
NaI40,40,8,6,58.31,-16.18,-24.21,17.98,1000,0.0977,-374.151,3.016,11,8,6,40
NaI41,41,8,6,58.09,-25.8,-13.64,18.17,1007,0.0977,-307.777,4.037,11,9,6,41
NaI42,42,8,6,58.27,-29.25,0.8,18.09,1008,0.0977,-320.873,3.027,11,10,6,42
NaI43,43,8,6,58.46,-24.62,15.82,17.96,1008,0.0977,-347.818,3.074,11,11,6,43
NaI44,44,8,6,58.42,-12.67,26.29,17.94,1009,0.0977,-377.196,3.012,11,12,6,44
NaI45,45,8,6,58.48,2.56,29.03,17.88,1008,0.0977,-377.448,3.071,11,13,6,45
NaI46,46,8,6,58.2,16.13,24.27,18.06,1009,0.0977,-404.410,3.090,11,14,6,46
NaI47,47,8,6,58.26,25.86,13.76,18.11,1010,0.0977,-288.290,2.896,11,15,6,47
NaI48,48,8,6,58.35,29.38,-0.59,18.12,1008,0.0977,-450.529,3.005,11,16,6,48
NaI49,49,8,6,58.56,24.75,-15.85,17.97,1003,0.0977,-319.867,2.785,11,17,6,49
NaI50,50,8,6,58.44,12.53,-26.24,17.86,1004,0.0977,-318.855,2.989,11,18,6,50
NaI51,51,8,6,58.2,-2.9,-28.78,17.94,1003,0.0977,-350.748,2.866,11,19,6,51
NaI52,52,8,7,54.64,-14.76,-29.03,23.11,1004,0.0977,-356.590,2.951,11,20,6,52
NaI53,53,8,7,54.99,-26.51,-19.34,22.99,1003,0.0977,-348.777,2.922,11,21,6,53
NaI54,54,8,7,54.62,-31.92,-4.67,22.91,1003,0.0977,-373.892,2.996,11,22,6,54
NaI55,55,8,7,54.34,-30.65,9.78,23.08,1003,0.0977,-326.549,2.786,11,23,6,55
NaI56,56,8,7,54.37,-23.67,21.88,23.11,1003,0.0977,-299.372,2.893,11,24,6,56
NaI57,57,8,7,54.3,-11.94,29.88,23.13,1003,0.0977,-392.075,2.918,11,25,6,57
NaI58,58,8,7,54.16,1.72,31.97,23.13,1003,0.0977,-399.579,3.095,11,26,6,58
NaI59,59,8,7,54.76,14.82,29.14,23.1,1003,0.0977,-396.331,2.958,11,27,6,59
NaI60,60,8,7,55.05,26.41,19.44,22.92,1005,0.0977,-335.510,2.911,11,28,6,60
NaI61,61,8,7,54.58,31.85,4.63,22.9,1004,0.0977,-354.256,2.838,11,29,6,61
NaI62,62,8,7,54.33,30.49,-10.02,23.03,996,0.0977,-275.844,2.786,16,1,8,81
NaI63,63,8,7,54.46,23.78,-21.93,23.11,1008,0.0977,-406.635,3.118,11,31,6,63
NaI64,64,8,7,54.56,11.85,-30.05,22.99,1001,0.0977,-224.285,2.824,12,0,6,64
NaI65,65,8,7,54.3,-1.53,-32.17,23.14,1007,0.0977,-291.609,3.107,12,1,6,65
NaI66,66,8,8,49.44,-19.15,-26.86,28.23,1003,0.0977,-268.774,2.873,12,2,6,66
NaI67,67,8,8,49.71,-29.04,-16.16,28.17,1000,0.0977,-241.791,2.950,12,3,6,67
NaI68,68,8,8,49.74,-33.22,-1.65,28.17,1003,0.0977,-339.997,2.807,12,4,6,68
NaI69,69,8,8,49.56,-30.18,13.37,28.14,1001,0.0977,-267.959,2.805,12,5,6,69
